id,TITLE,DAYS,START ,END ,class_room_id
1,1,MW,1530,1645,19
2,2,F,1400,1645,8
3,3,MW,1700,1815,9
4,4,T,1830,2115,14
5,5,S,1100,1345,27
6,6,MW,1400,1545,22
7,7,TR,1230,1345,15
8,8,MW,1400,1545,13
9,9,TR,800,945,26
10,10,MW,1400,1545,26
11,11,MWF,1230,1345,12
12,12,MW,1600,1745,26
13,13,TR,1200,1345,13
14,14,TR,1000,1145,22
15,15,M,1830,2115,15
16,16,TR,1530,1645,22
17,17,MWF,1100,1215,12
18,18,MWF,1230,1345,25
19,19,MWF,800,915,22
20,20,MWF,930,1045,22
21,21,TR,930,1045,15
22,22,TR,1100,1215,15
23,23,TR,1700,1815,22
24,24,T,1830,2200,15
25,25,F,1400,1630,22
26,26,MWF,800,915,15
27,27,TR,800,945,22
28,28,MWF,1100,1215,9
29,29,MWF,1230,1345,13
30,30,W,1830,2200,22
31,31,TR,1530,1715,26
32,32,TR,1000,1145,14
33,33,MWF,800,915,26
34,34,MWF,930,1045,26
35,35,M,1830,2200,27
36,36,W,1830,2115,12
37,37,TR,1200,1345,12
38,38,MWF,1230,1345,9
39,39,MWF,1530,1645,9
40,40,MW,1400,1545,12
41,41,MW,1600,1745,22
42,42,TR,1530,1715,15
43,43,TR,1000,1145,26
44,44,MW,1530,1715,25
45,45,MWF,1100,1215,15
46,46,MWF,1230,1345,15
47,47,MWF,800,915,13
48,48,MWF,930,1045,27
49,49,TR,1200,1345,22
50,50,TR,1530,1645,12
51,51,MWF,930,1045,13
52,52,MWF,1230,1345,22
53,53,MWF,1100,1215,14
54,54,MW,1400,1545,27
55,55,MWF,1100,1215,25
56,56,MWF,1100,1215,22
57,57,MWF,1230,1345,14
58,58,MWF,930,1045,9
59,59,MWF,1230,1345,27
60,60,MWF,800,915,27
61,61,F,1400,1730,17
62,62,TR,1000,1145,17
63,63,TR,1200,1345,17
64,64,TR,1700,1815,7
65,65,MWF,930,1045,17
66,66,MWF,930,1045,7
67,67,MWF,1100,1215,7
68,68,T,1830,2200,17
69,69,R,1830,2200,17
70,70,MWF,800,915,7
71,71,M,1830,2115,7
72,72,MW,1600,1745,17
73,73,MW,1400,1545,17
74,74,S,800,1045,17
75,75,S,1100,1345,7
76,76,TR,1530,1645,7
77,77,R,1830,2200,7
78,78,T,1830,2200,7
79,79,W,1830,2115,17
80,80,F,1400,1630,7
81,81,TR,1700,1815,17
82,82,MWF,1230,1345,7
83,83,TR,1000,1145,7
84,84,MW,1400,1545,7
85,85,MW,1600,1745,7
86,86,MWF,1230,1345,17
87,87,M,1830,2200,17
88,88,W,1830,2115,7
89,89,TR,1200,1345,7
90,90,MWF,1100,1215,17
91,91,TR,800,945,17
92,92,TR,1530,1645,17
93,93,TR,800,915,25
94,94,TR,1530,1645,25
95,95,MWF,930,1045,14
96,96,MWF,1100,1215,27
97,97,MWF,800,915,25
98,98,TR,1000,1145,12
99,99,TR,800,945,12
100,100,TR,1200,1345,27
101,101,MW,1830,2015,14
102,102,MW,1600,1745,12
103,103,MW,1400,1545,14
104,104,TR,1830,2015,13
105,105,TR,1000,1145,27
106,106,MW,1600,1745,14
107,107,TR,800,945,13
108,108,TR,800,945,27
109,109,T,1830,2200,22
110,110,MWF,800,915,12
111,111,MWF,930,1045,15
112,112,TR,1530,1715,13
113,113,MW,1600,1745,10
114,114,MW,1830,2015,26
115,115,MWF,800,915,10
116,116,MW,1400,1545,10
117,117,MWF,1230,1345,10
118,118,MWF,930,1045,25
119,119,TR,1530,1715,27
120,120,TR,1830,2015,9
121,121,TR,1000,1145,10
122,122,TR,800,945,10
123,123,TR,800,945,14
124,124,TR,1530,1715,9
125,125,TR,1830,2015,27
126,126,TR,1200,1345,10
127,127,MWF,800,915,14
128,128,S,1100,1430,10
129,129,TR,1000,1145,13
130,130,TR,1530,1715,10
131,131,MWF,1100,1215,13
132,132,M,1830,2115,12
133,133,TR,1700,1815,25
134,134,TR,1230,1345,14
135,135,TR,1530,1645,14
136,136,MW,1400,1515,15
137,137,F,1400,1630,27
138,138,MW,1530,1645,15
139,139,F,700,750,3
140,140,TR,800,915,18
141,141,MWF,1000,1050,18
142,142,TR,1530,1645,19
143,143,MW,1700,1815,18
144,144,R,1830,2115,18
145,145,S,800,1045,32
146,146,MW,800,915,19
147,147,TR,1100,1215,18
148,148,T,1830,2115,18
149,149,MW,930,1045,1
150,150,MW,1530,1645,28
151,151,MW,1700,1815,34
152,152,M,1830,2115,19
153,153,TR,800,915,31
154,154,TR,1530,1645,20
155,155,MW,1700,1815,33
156,156,MW,1400,1515,20
157,157,TR,800,915,20
158,158,TR,1230,1345,18
159,159,MW,1530,1645,31
160,160,W,1830,2115,34
161,161,TR,1230,1345,20
162,162,TR,1100,1215,20
163,163,MW,800,915,34
164,164,T,1830,2115,20
165,165,MW,1400,1515,18
166,166,TR,1100,1215,19
167,167,TR,1700,1815,19
168,168,M,1830,2115,18
169,169,MW,1530,1715,8
170,170,TR,1830,2015,19
171,171,M,1830,2200,20
172,172,MW,1100,1245,18
173,173,MWF,1100,1150,19
174,174,MWF,1300,1350,19
175,175,TR,930,1045,24
176,176,S,1100,1345,18
177,177,S,800,1045,18
178,178,M,1830,2200,21
179,179,W,1830,2115,8
180,180,R,1830,2200,8
181,181,MWF,1530,1645,18
182,182,S,1100,1430,19
183,183,T,1830,2115,10
184,184,W,1830,2115,20
185,185,MW,1530,1645,20
186,186,W,1830,2115,2
187,187,MWF,1100,1215,34
188,188,R,1830,2200,11
189,189,F,1400,1645,5
190,190,W,1530,1715,29
191,191,TR,700,750,8
192,192,M,700,750,18
193,193,TR,700,750,18
194,194,MWF,930,1045,19
195,195,T,1830,2200,32
196,196,S,700,750,4
197,197,MW,1400,1515,23
198,198,TR,1700,1815,34
199,199,F,1400,1645,20
200,200,TR,930,1045,18
201,201,TR,1700,1815,32
202,202,TR,1230,1345,29
203,203,TR,1230,1345,16
204,204,MW,1230,1345,29
205,205,R,1100,1345,30
206,206,F,1400,1645,19
207,207,T,1830,2115,11
208,208,R,1830,2115,6
209,209,MW,1700,1815,19
210,210,F,800,850,29
